Bug,Where,Price,StartTime,EndTime,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Paper Kite Butterfly,2,1000,0800,1900,1,1,1,1,1,1,1,1,1,1,1,1
Peacock Butterfly,2,2500,0400,1900,0,0,1,1,1,1,0,0,0,0,0,0
Pill Bug,4,250,2300,1600,1,1,1,1,1,1,0,0,1,1,1,1
Pondskater,16,130,0800,1900,0,0,0,0,1,1,1,1,1,0,0,0
Queen Alexandra's Birdwing,2,4000,0800,1600,0,0,0,0,1,1,1,1,1,0,0,0
Rainbow Stag,13,6000,1900,0800,0,0,0,0,0,1,1,1,1,0,0,0
Raja Brooke's Birdwing,2,2500,0800,1700,1,1,0,1,1,1,1,1,1,0,0,1
Red Dragonfly,2,180,0800,1900,0,0,0,0,0,0,0,0,1,1,0,0
Rice Grasshopper,7,160,0800,1900,0,0,0,0,0,0,0,1,1,1,1,0
Robust Cicada,13,0,0800,1700,0,0,0,0,0,0,1,1,0,0,0,0
Rosalia Batesi Beetle,12,3000,0000,0000,0,0,0,0,1,1,1,1,1,0,0,0
Saw Stag,13,0,0000,0000,0,0,0,0,0,0,1,1,0,0,0,0
Scarab Beetle,13,0,2300,0800,0,0,0,0,0,0,1,1,0,0,0,0
Scorpion,7,8000,1900,0400,0,0,0,0,1,1,1,1,1,1,0,0
Snail,8,250,0000,0000,1,1,1,1,1,1,1,1,1,1,1,1
Spider,1,480,1900,0800,1,1,1,1,1,1,1,1,1,1,1,1
Stinkbug,6,120,0000,0000,0,0,1,1,1,1,1,1,1,1,0,0
Tarantula,7,8000,1900,0400,1,1,1,1,0,0,0,0,0,0,1,1
Tiger Beetle,7,1500,0000,0000,0,1,1,1,1,1,1,1,1,1,0,0
Tiger Butterfly,2,240,0400,1900,0,0,1,1,1,1,1,1,1,0,0,0
Violin Beetle,12,450,0000,0000,0,0,0,0,1,1,0,0,1,1,1,0
Walker Cicada,13,400,0800,1700,0,0,0,0,0,0,0,1,1,0,0,0
Walking Leaf,5,600,0000,0000,0,0,0,0,0,0,1,1,1,0,0,0
Walking Stick,1,0,0400,0800,0,0,0,0,0,0,1,1,1,1,1,0
Walking Stick,1,0,1700,1900,0,0,0,0,0,0,1,1,1,1,1,0
Wasp,1,2500,0000,0000,1,1,1,1,1,1,1,1,1,1,1,1
Wharf Roach,9,200,0000,0000,1,1,1,1,1,1,1,1,1,1,1,1
Yellow Butterfly,2,160,0400,1900,0,0,1,1,1,1,0,0,1,1,0,0
